GeneID	Length	1h_m1_t	1h_m1_u	1h_m2_t	1h_m2_u	1h_m3_t	1h_m3_u	6h_m1_t	6h_m1_u	6h_m2_t	6h_m2_u	6h_m3_t	6h_m3_u
ENSMUSG00000025907	14690	0	0	1	2	1	2	0	1	1	0	7	0
ENSMUSG00000090031	5428	5	1	0	4	3	1	11	3	12	5	15	6
ENSMUSG00000087247	971	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000103355	639	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102706	473	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	4530	0	2	0	0	0	0	0	0	1	1	2	0
ENSMUSG00000033740	6464	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000103329	2915	4	1	7	0	4	1	9	0	11	5	2	6
ENSMUSG00000104385	663	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	626	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103282	30	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	325	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	159	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	641	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	6654	0	0	0	1	0	0	0	3	4	7	1	1
ENSMUSG00000098201	388	5	4	5	8	4	3	6	1	1	0	6	3
ENSMUSG00000103509	4028	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048538	1299	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000103709	178	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	130	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	1012	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	4339	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103498	1124	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	2596	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	286	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	2095	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	881	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	1214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	10908	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	2532	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	400	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	3534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093970	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	1164	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	240	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103933	198	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076135	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086195	340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	626	0	1	2	0	0	1	0	1	0	0	0	0
ENSMUSG00000102316	1050	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	518	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	3259	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	960	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	636	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	1170	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	1406	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	2048	2	0	1	0	1	0	0	1	2	0	0	1
ENSMUSG00000025911	3780	6	2	12	7	3	7	0	1	11	12	3	4
ENSMUSG00000079671	4910	9	8	8	11	17	6	14	14	25	12	21	23
ENSMUSG00000081441	1102	4	1	3	1	3	0	19	6	10	13	6	3
ENSMUSG00000067879	3256	8	0	8	2	13	3	6	0	9	2	3	0
ENSMUSG00000099827	1067	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	5402	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000045210	9749	0	0	1	0	1	1	13	1	5	0	6	2
ENSMUSG00000097893	3101	23	24	46	43	46	39	57	40	73	21	54	43
ENSMUSG00000025915	14311	0	0	0	2	0	0	0	2	1	1	3	1
ENSMUSG00000046334	357	5	3	5	3	11	1	22	8	7	6	12	6
ENSMUSG00000088916	105	2	3	5	1	1	4	0	1	0	7	3	5
ENSMUSG00000046101	5916	9	10	5	10	9	6	15	10	18	7	7	8
ENSMUSG00000098234	1146	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000093178	87	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	4193	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104025	1374	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916	1523	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087199	656	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095780	104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	3766	0	0	0	0	1	0	0	3	0	0	0	0
ENSMUSG00000056763	17553	17	6	16	8	24	8	25	12	33	26	23	26
ENSMUSG00000102356	920	0	4	6	3	6	0	10	1	2	2	0	5
ENSMUSG00000067851	11318	3	3	6	0	5	0	33	4	2	5	7	7
ENSMUSG00000088153	240	12	7	4	11	4	6	46	5	6	9	6	4
ENSMUSG00000102556	1722	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042501	6840	11	4	10	2	4	6	10	4	7	5	3	5
ENSMUSG00000103810	2745	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	1456	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094979	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	492	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	1922	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	1242	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	759	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088585	91	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	16609	0	2	2	0	0	0	0	1	3	1	0	0
ENSMUSG00000077318	128	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	609	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	3039	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	9183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103825	2471	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	262	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	2144	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	873	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093864	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	121	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	807	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098163	687	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	3200	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000101314	853	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	11294	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025938	13137	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104518	551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620	321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	288	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	2564	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005886	15642	0	1	0	0	1	0	0	1	0	0	1	1
ENSMUSG00000103506	2253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103495	1626	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099183	82	4	2	0	1	3	1	0	0	3	1	0	1
ENSMUSG00000102639	695	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104170	1872	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000087782	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103085	4642	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102664	2248	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000101476	681	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101171	644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025935	3162	0	1	0	0	0	0	27	6	11	4	7	0
ENSMUSG00000025937	4566	0	0	0	0	1	0	9	2	0	0	0	0
ENSMUSG00000102982	1266	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067813	1926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077368	131	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	997	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102166	2249	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089358	308	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	3605	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932	7808	0	0	0	0	0	1	7	0	0	0	0	0
ENSMUSG00000095853	100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102588	439	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054493	3566	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025930	2546	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103492	4321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081201	288	2	1	0	0	0	0	12	1	4	3	0	0
ENSMUSG00000082193	894	1	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000032769	4263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088159	120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	996	0	0	1	0	0	0	0	0	4	0	0	1
ENSMUSG00000092083	15165	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102937	1533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149	2089	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000088829	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	251	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	4608	0	1	0	0	1	0	6	0	0	0	0	0
ENSMUSG00000104379	3169	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032719	2748	0	1	5	3	3	1	0	0	12	3	2	4
ENSMUSG00000088943	303	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067795	2063	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000043716	2687	0	0	0	0	0	0	2	1	1	0	1	0
ENSMUSG00000025921	4160	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104165	2321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868	1515	0	0	1	0	0	1	0	0	3	0	0	0
ENSMUSG00000025920	6747	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000089982	1003	0	2	0	0	1	1	5	0	0	0	3	4
ENSMUSG00000025939	4930	0	0	0	0	0	0	0	5	0	2	1	0
ENSMUSG00000102457	2980	12	10	11	12	11	14	13	5	8	8	12	17
ENSMUSG00000079658	3026	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000097744	2788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100959	683	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000025940	1820	1	0	1	1	0	2	4	0	7	0	0	0
ENSMUSG00000025779	1021	0	1	1	3	0	1	0	0	2	0	0	2
ENSMUSG00000100093	419	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020	1860	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101640	176	0	0	1	0	1	0	3	0	0	0	0	1
ENSMUSG00000104133	827	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	4998	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100110	359	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	7731	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099899	1011	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100272	379	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	472	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	2870	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102048	486	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089534	111	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	6923	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000100053	4218	0	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000085125	8345	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025776	4515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099895	629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100554	1399	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099473	586	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	2557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109887	2570	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000102001	199	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	142	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	2737	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	219	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	258	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	610	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	985	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306	909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	72	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	279	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	918	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	1954	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100720	545	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000025927	6338	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100538	202	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	472	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	2246	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084668	65	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	2499	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	14310	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000104095	3479	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089914	788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090142	553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070175	102	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	5551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065559	73	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	1171	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000041872	2022	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041859	3752	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099714	1186	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121	833	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088858	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	1120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025931	5488	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077314	131	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000100929	858	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041809	2208	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041779	6661	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000099971	546	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100819	571	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025933	1351	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102633	2100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025934	4344	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099343	633	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096375	366	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025936	1365	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093963	439	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	1987	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	371	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436	228	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	1946	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085507	350	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094926	228	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	2236	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000085679	196	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028033	7689	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104138	2327	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082935	1124	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000103748	1567	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099692	552	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418	447	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	7821	0	2	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000097642	802	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101468	921	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101227	2078	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073730	1781	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089553	121	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766	723	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065405	71	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097970	399	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065567	84	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775	347	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101226	644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026158	8109	0	0	1	2	0	0	0	0	0	1	0	0
ENSMUSG00000097920	989	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099503	778	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026156	6203	208	158	249	178	223	193	368	109	252	160	217	232
ENSMUSG00000026155	3575	0	0	1	1	1	2	0	1	10	0	1	0
ENSMUSG00000026154	874	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102495	390	5	11	3	14	14	18	22	11	10	9	13	11
ENSMUSG00000026153	7773	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102398	2800	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097670	867	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026147	5068	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026141	6887	0	0	0	0	0	1	0	0	0	0	2	0
ENSMUSG00000077463	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099997	1337	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100131	876	145	113	154	138	153	85	187	87	127	91	188	136
ENSMUSG00000067736	294	36	26	33	38	34	27	86	25	53	20	42	38
ENSMUSG00000101939	345	30	25	39	29	39	27	57	17	46	12	50	40
ENSMUSG00000101111	783	68	64	109	63	79	72	105	34	101	50	106	62
ENSMUSG00000100862	678	63	41	78	57	70	64	161	37	94	65	73	65
ENSMUSG00000102070	681	30	26	39	24	43	21	127	35	80	29	81	40
ENSMUSG00000101249	492	12	28	26	10	15	24	50	19	19	14	35	21
ENSMUSG00000073725	5960	1	1	2	0	0	0	0	2	6	0	1	0
ENSMUSG00000100808	661	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100483	1216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100450	816	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099392	448	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033569	18559	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080849	444	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104257	1551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096866	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102296	1031	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103209	3375	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104027	3433	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102407	2533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103214	3105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104100	3257	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084740	104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103889	2935	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101301	570	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104221	2943	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102250	3995	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102317	5440	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103563	2741	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102465	3581	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102659	3691	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103924	4550	0	0	0	0	0	0	0	0	0	0	0	0
