"","X1h_m1_t","X1h_m1_u","X1h_m2_t","X1h_m2_u","X1h_m3_t","X1h_m3_u"
"ENSMUSG00000041670",0,0,0.804048309761759,0,0,0
"ENSMUSG00000097642",0,0,0,0,0,0
"ENSMUSG00000101468",0,0,0,0,0,0
"ENSMUSG00000101227",0,0,0,0,0,0
"ENSMUSG00000073730",0,0,0,0,0,0
"ENSMUSG00000089553",0,0,0,0,0,0
"ENSMUSG00000102766",0,0,0,0,0,0
"ENSMUSG00000065405",0,0,0.804048309761759,0,0,0
"ENSMUSG00000097970",0,0,0.804048309761759,0,0,0
"ENSMUSG00000065567",0,0,0,0,0,0
"ENSMUSG00000100775",0,0,0,0,0,0
"ENSMUSG00000101226",0,0,0,0,0,0
"ENSMUSG00000026158",100.573681778677,51.3143807036426,100.50603872022,47.7655384130808,62.6220297741032,69.8015266998505
"ENSMUSG00000097920",0,0,0,0,0,0
"ENSMUSG00000099503",0,0,0,0,0,0
"ENSMUSG00000026156",0,0,0,0.995115383605851,0.857836024302784,0
"ENSMUSG00000026155",353.630042383091,266.118765044472,287.045246584948,290.573692012908,295.095592360158,302.10973274779
"ENSMUSG00000026154",21.628748769608,23.8671538156477,16.0809661952352,30.8485768917814,35.1712769964141,37.0820610592956
"ENSMUSG00000102495",0,0,0,0,0,0
"ENSMUSG00000026153",99.492244340197,82.3416806639847,81.2088792859377,79.6092306884681,85.7836024302784,73.073473263906
"ENSMUSG00000102398",0,1.19335769078239,0,0,0,0
"ENSMUSG00000097670",0,0,0,0,0,0
"ENSMUSG00000026147",0,0,0,0,0,0
"ENSMUSG00000026141",0,1.19335769078239,0,0,0,1.09064885468516
"ENSMUSG00000077463",0,0,0,0,0,0
"ENSMUSG00000099997",1.0814374384804,0,0,0.995115383605851,0,0
"ENSMUSG00000100131",2499.20192032821,1800.77675539062,1525.27964361806,1107.56342195331,2144.59006075696,1587.9847324216
"ENSMUSG00000067736",725.64452122035,540.591033924421,467.152067971582,317.441807370266,632.225149911152,494.063931172379
"ENSMUSG00000101939",366.607291644856,335.333511109851,248.450927716384,184.096345967082,289.090740190038,321.741412132123
"ENSMUSG00000101111",4875.11997266965,4442.87068278282,4138.43665034377,3456.03572726312,4000.08938132388,4105.20228903496
"ENSMUSG00000100862",4649.09954802725,3884.37928349667,3728.37201236528,3184.36922753872,3971.78079252189,3703.84351051082
"ENSMUSG00000102070",4925.94753227823,4954.82113212847,4361.96208045754,4031.2124189873,4475.33053878762,4280.79675463927
"ENSMUSG00000101249",6007.38497075863,4747.17689393233,4630.51421591797,3993.39803441028,4933.41497576531,4352.77957904849
"ENSMUSG00000073725",521.252845347554,545.364464687551,530.671884442761,541.342768681583,526.711318921909,501.698473155175
"ENSMUSG00000100808",0,0,0,0,0,0
"ENSMUSG00000100483",0,0,0,0,0,0
"ENSMUSG00000100450",0,0,0,0,0,0
"ENSMUSG00000099392",0,0,0,0,0,0
"ENSMUSG00000033569",0,0,0,0,0,1.09064885468516
"ENSMUSG00000080849",0,0,0,0,0,0
"ENSMUSG00000104257",0,0,0,0,0,0
"ENSMUSG00000096866",0,0,0,0,0,0
"ENSMUSG00000102296",0,0,0,0,0,0
"ENSMUSG00000103209",0,0,0,0,0,0
"ENSMUSG00000104027",0,0,0,0,0,0
"ENSMUSG00000102407",0,0,0,0,0,0
"ENSMUSG00000103214",0,0,0,0,0,0
"ENSMUSG00000104100",0,0,0,0,0,0
"ENSMUSG00000084740",0,0,0,0,0,0
"ENSMUSG00000103889",0,0,0,0,0,0
"ENSMUSG00000101301",0,0,0,0,0,0
"ENSMUSG00000104221",0,0,0,0,0,0
"ENSMUSG00000102250",0,0,0,0,0,0
"ENSMUSG00000102317",0,0,0,0,0,1.09064885468516
"ENSMUSG00000103563",0,0,0,0,0,0
"ENSMUSG00000102465",0,0,0,0,0,0
"ENSMUSG00000102659",0,0,0,0,0,0
"ENSMUSG00000103924",0,0,0,0,0,0
"ENSMUSG00000104132",0,0,0,0,0,0
"ENSMUSG00000102747",0,0,0,0,0,0
"ENSMUSG00000102386",0,0,0,0,0,0
"ENSMUSG00000103004",0,0,0,0,0,0
"ENSMUSG00000104516",0,0,0,0,0,0
